language,dialect,accent,text,transliteration,sentiment_1,sentiment_2,sentiment_3
Caspian,Mazandarani,Tonekaboni,حالا اندی شُخُو‌شَنگ بودن و بگو بِخَند کَردن خوب نِیه.,hala andi shukho shang budan o begu bekhand kardan khub niya,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,مَگه کسی تِره دُنبال اَکوردِه؟,mage kasi tere donbāl akorde?,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,نانِ گَندُمِه هَضم کَردن مِعدهٔ فولادی خَانه.,nāne gandome hazm kardan m'ede fulādi khane,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,ای شَخص خیلی خَسیس هِسِه.,i shakhs kheili khasis hesse.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,چاقوی تیز، بَره‌ی نَره آماده هِسِه.,"chaghoye tiz, bareye nare āmāde hesse.",negative,negative,negative
Caspian,Mazandarani,Tonekaboni,خوشتی‌ره بوخار، مردمِه‌ره دَکون.,"khoshti re bokhār, mardome re dakon. ",positive,positive,positive
Caspian,Mazandarani,Tonekaboni,تی پیره سفره سَرِ کوچه داره.,ti piyare sofre sare kuche dare.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,این شُکوفه‌شان چه زیبا هِسِن.,in shokofeshan che zibā hessen.,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,شیمی خانه,shimi khāne,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,خُدا خَرِه بِدِیِه، اینه شاخ نَده.,khodā khare bedey ine shākh nada,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,طَرَف مَاره بوکُشته، اَما وَچه مَاره زِنده بَنه.,"taraf mare bokushte, ama vache mare zende bana.",negative,negative,negative
Caspian,Mazandarani,Tonekaboni,جنگلی شُتُر بِدیه.,jangali shotor bediya.,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,زِمِستانه چِشم کوره.,zemestāne cheshm kure,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,پیچایه بُراغ اَکوردِه.,pichāye boragh akorde,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,تی سَرِ فِدا، عِیب نَداره.,"ti sare fedā, eb nedāre",positive,positive,positive
Caspian,Mazandarani,Tonekaboni,اینه دِماغ چَندی گَته. اینه لَب خُوده ميمونه موس.,ine demāgh chandi gata. ine lab khode mimune mus,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,اِنگار از فیل موس دَکِته.,engār az file kun dakete,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,تورو خُدا بفرمایین خانه دِلِه.,toro khoda befarmāyin khāne dele.,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,عَبدِه، این کیه؟,"abde, in kiya?",neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,غُلام سیاه اَبره هَمراه بُما و کیجایه به قَصرِ شاهِ پَریان ببُرده.,gholām siāh abre hamrā boma va kijāye be ghasre shāhe pariyān baberde. ,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,این وب چَندی قشنگه.,in veb chandi ghashange,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,خنوم، می یَقه پاره اَکونُم.,khanom mi yagha pāre akonom.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,گی بوخاره، تی کاره.,gi bokhāre ti kāre.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,بَرعَکسِ اینه مار که عاقِل با، این اِنگار توره.,barakse ine mār ke āghel bā in engār divāna.,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,دەرەم چەم,derem chem,neutral,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,خەرس ئاوه بۆخۆوەی، ترەکە. (موێلی ڕەزە.),"khers āwa bkhwey, tarake. (mueyli rreze.)",negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,گۆسنمە,gosnama,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,مە چای نیخۆوم,me chāy nyakhowam,neutral,neutral,neutral
Kurdish,Southern Kurdish,Southern Kurdish,فره خاس بی، ماچ و گیانت، قوربانت بچم,"fera khās bi, māch wa gyanet, qorbānet bechem",positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,ئه‌فتەو و کورە دەرهاتیه؟,āftow wa kura der hatiya?,negative,negative,positive
Kurdish,Southern Kurdish,Southern Kurdish,ئاوه خۆدا داسە لی.,āwa khodā dāsa li.,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,چه دۆرۆس کەردیده؟,cha doros kerdida?,neutral,neutral,positive
Kurdish,Southern Kurdish,Southern Kurdish,دوتەیل دەرەن چەن,doteyl deren chen,neutral,neutral,positive
Kurdish,Southern Kurdish,Southern Kurdish,دوتەیل داشتن چیان,doteyl dashten chiyān,neutral,neutral,positive
Kurdish,Southern Kurdish,Southern Kurdish,ره‌وانناسه‌گان خاسییه‌یل فره‌ێگ ئه‌ڕاێ گیره‌ کردن شمارینه‌ و گیره‌ کردن ڕێگه‌ێ ئه‌ڕاێ ئازاد بین له‌ ده‌س فشار و ئسترسه‌یل ژیان و تاوشت ژان و خه‌م و خوسه‌ زانستنه‌.,rawānnāsagān khāsieyle fereig arrāy gira kerden shemārina wa gira kerden rrigey arrāy āzād bin la dase feshār wa estereseyle zhian wa tāweshte khamu khossa zānestena.,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,او مربا خواردن دری,ow morabbā khwārden dere,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,له مدت عمرم ایجو غذایله نخواردمه,la meddate omrem iju ghazāyeyla nakhwārdema,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,مناڵەیل و ئات ئەیال چۊنن؟,menāleyl wa āto ayal chunen?,positive,positive,neutral
Kurdish,Southern Kurdish,Southern Kurdish,دستان خوش ئەڕا ای کلیپه که پخش کردینه درباری کلاش هرسینی,dasedān khwash arrā i kilipa ke pakhsh kerdina darbārey kelāshe harsini,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,ئاخ و داخ ‌‌ئەڕا میراث باوانمان که بێ پشتگیری که‌تێەسه پراوێز,ākho dākh ārra mirāse bawaneman ke bi peshtgiri katiyasa perāwiz,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,اول باره بیشتریان دیونم,awal bāra bishteriān dunem,neutral,positive,neutral
Kurdish,Southern Kurdish,Southern Kurdish,ای گیان ئەڕا شارگمان,ey gyān arrā shāragamān,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,درود فره و ژنیل کورد له سراسر گیتی له کرماشان بگر تا کوردستان.,durude fera wa zheneyle kurd la sarāsare giti la kermāshān beger tā kurdessān,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,هه‌ر وه‌خت نان کردیاد هاتیاد چڕیاده‌مان. ئیمه‌ مناڵه‌یل گشت وه‌ رزاره‌و نیشتیایمنه‌ شانێ و چه‌وه‌ڕێ وسیایم نانه‌ ساجیه‌گانێ له‌ وه‌رتاوه‌ برشته‌ بکه‌ێد و به‌ێده‌ ده‌سمانه‌و.,harwakht nān kerdiād hātiyād cherriyādamān. ima menāleyl gesht wa rrezārow nishtiaymena shāni wa chāwarri wesāyma nāna sājiagāni la war tāwa bereshta bekeid wa biyeyda dasemānow.,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,بەڕدێنو هاوەڕدەن,berrdinu hāwerden,neutral,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,دادۆ هاوار,dādu hāwār,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,خۆدا نەگادارت,khodā negādāret,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,ئەگەر خۆدا نێتەوێ، هۆچ بلگیگ و دارو نەکەفێد,"aga khodā nyatwey, huch balgig wa dārow nyakafed",neutral,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,شاید نەخواردیمە نانە گەنم، وەلی دیمەنە دسە مەردەم,"shāyad nakhwārdima nāne ganem, wali dimena dase mardem",negative,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,ئاوه چه‌س تا ده‌س نەکەیده ناو چاوی، دەم وا نەکەی؟,"āwa chas tā das nakeyda naw chāwi, dam wā nakey?",neutral,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,مەگە وە پیت زەنگ نیان؟,maga wa pit zang niyān?,neutral,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,هاوار,hāwār,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,شەکەت,shakat,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,درچین,darchin,neutral,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,بۆش چه‌نی قەڕاره خوش بگەزەرێد,bush chani qarāra khwash begzared,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,له‌ئنت و باوگەت,la‘nat wa bāwget,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,هەکەڕەیلە ئیمه چەشتیگ و ئاوانە کەم نەیڕن,hakereyle ima cheshtig wa āwāna kam neyren,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,فره جالبوو بوو,fera jālebow bud,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,فەقەت چاو وه ڕی یەکیگ لە بازیەیلە شیرینەد بوو,faghad chāw wa rri yakig la bāzieyle shirined bu,positive,positive,negative
Kurdish,Southern Kurdish,Southern Kurdish,چاو وه ڕی ئاگەرە تازە بووم,chāw wa rri āgere tāza buym,negative,positive,negative
Kurdish,Southern Kurdish,Southern Kurdish,یانی کار نەکەید,yāni kār nakeyd,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,وە ده گەله فەله تشکیلوو بیه، ئەما پانزە ساڵ توول کێشه‌د,"wa da gela fala tashkilow biya, ama pānza sal tul kished",negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,وە نەزەر تێیەی ئاێمەیل ترَکیش و هواپەیما چەنە لۆگار,wa nazar tiyey āyemeyle terakish wa hawāpeymā chena logār,neutral,negative,neutral
Kurdish,Southern Kurdish,Southern Kurdish,وە نەزەر تێیەی دۆرۆس کەردنە ئی فڕودگاهه ڕەسەده مەڕیخ,wa nazar tiyey doros kerdene i furudgāha raseda merrikh,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,دارە میوە، کەرم لە خۆویه,"dāre miwa, kerm la khowya",negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,درە باخەگه بونی، تا تایی باخ دونی,"dāre bākhaga buni, tā tāy bākh duni",negative,negative,positive
Kurdish,Southern Kurdish,Southern Kurdish,قسە ئەگەر بکەیدە‌ی ناو شیشە، پەخشوو بوود,"ghessa aga bekeydey nāwe shisha, pakhshow bud",negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,قسە تا ها ناو دڵەت هەنە خۆوده,ghessa tā hā nāwe delet hene khowada,negative,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,دڵ سەفره نیە ئەڕا هەر کەسیگ پانی بکەید,del sefra niya arrāy har kasig pāni bekeyd,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,خەرس بسەنە و ئاھەنگەری,khers basena wa āhangari,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,ئەگەر بایه ئاو لە هاوان بکەید تا بۆکوتی، نەیڵێد بیکاڕوو بوود,"agar bāya āw la hāwan bekeyd tā bokoti, neyled bikārow bud",negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,کور ئەگەر نەچوودا بازاڕ، بازاڕ گه‌نە,"kur agar nachuda bāzār, bāzār gane",neutral,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,یه کەرتە ئاخەرە,ya kerte akhera,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,چاکن هەمیشە ها تای چا,chākan hamisha hā tāy chā,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,قەیمەتە ئاو یەی زڕه قەزا نێسبەت وە ئەندازەی فره فره بان بی. وەڵا حەق نەیێو. ساندوێجەگێ هەیولای ژەمبۆن لە حەد یەی منالە غولێگیش نەیێو. ئەصڵنیش مەزه نیاشت. وەڵی ساندوێجە چوریتسو فره خاس بی فره فره خۆشمزه بی,gheymate āw yey zarra ghazā nesbat wa andāzey fera fera bān bi. welā hagh neyw. sāndewije hayulāy zhambon dar hadde yey menāle ghuligish neyw. aslanish maza niyāsht. wali sāndewije churitsu fera khās bi fera fera khoshmaza bi,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,لطف بکەین و ئکسەیڵ ئینتەرنتی ئستفادە نەکەین و ئکسە مەحصولە خۆدان بیڵین. ئاخە یه کۆره ئاوا وە کۆره؟ موتەئەسفەم,Lotf bekeyn wa akseyle interneti estefade nakeyn wa akse mahsule khowadān bilin. Akhe ya kura āwa wa kura? moteassefem,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,فره خەراو بی (جۆرە ئکسەگێ کە ئاپلۆود بیا),fera kherāw bi (jure aksagey ke āplowd biya),negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,وە جی کێیکە وانیلی کاکاوویی، کێیکە کاکاوویی سادە کل کەردون,"wa ji keike wānili kākāoui, keike kākāoui sāda kel kerdun ",negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,خۆرشتەگێ مزەی ئاو دیا، گەشتیشی لەپە بی، ئەصلن پێشنهاد نه‌کەم,"khoreshtagey mazey āw diyā, geshtishi lappa bi, aslan pishnāhād nakam",negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,فره خاسو وە موقە، ده‌سەدان دەرد نه‌کەی,"fera khāso wa mogha, dasedān dard nakey",positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,حەجمە ساندوێجەگێ کۆلن دو کۆتۆو بوو,hajme sāndewijagey kolan do kotow bu,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,خاس ... فەقەت جی یەی چەنگیریگ خالی بی,khās ... faqad ji yey chengirig khāli bi,neutral,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,فره بی نمک بی، بوی گه‌نە گوشتیش دیا,"fera bi nemak bi, buy gane gushtish diyā",negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,ئه‌وەڵ یه کە بوی گه‌نێگ دیاد، دۆوەم یه کە وە گەچەشت خواردیا جز ڕۆست بیف، کە کەفتەمه یادە گوشتە ئاوپزە ناو ئاگوشت، فره خیس بی، نانی خۆشک و بدمزه بی. لطفی بکەین ئەندازەی مایعاتو تاناسوبی ڕۆعایت بکەین، دی بارە ئاخەره وە ئیره سەفارش دەم,"awal ya ke buy ganig diyād, dowom ya ke wa gechesht khwardiā joz rost bif, ke kaftema yāde gushte āwpaze nāw āwgush, fera khis bi, nani khoshko badmazza bi. Lotfi bekeyn andāzey māyeātu tanāsowi roāyat bekeyn di bāre akhera wa ira sefāresh dam",negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,په ئەڕا نێتیەی؟,pa arrā nyatiey?,neutral,neutral,negative
Kurdish,Southern Kurdish,Southern Kurdish,ئیمەیش تێیەم,imeish tieym,neutral,positive,positive
